what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043461175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043461378
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362043461706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362043466904
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1362043477102
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362043480872
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1362043482042
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1362043482400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043482432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043482728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043482853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043483570
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362043483898
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362043486051
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1362043493900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043493900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043494166
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362043494540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362043496699
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1362043499532
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1362043504508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043504524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362043504836
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362043505179
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362043507566
